text,startMs,endMs
this black guy in the psych war is like,0.0,2440.0
yelling in the modal you know like,2440.0,4080.0
anybody want to learn how to play chess,4080.0,5560.0
anybody want to learn how to play chess,5560.0,6959.0
you know I was like hell yeah I want to,6959.0,8680.0
learn how to play chess right so I walk,8680.0,11120.0
over I sit down with this fool and he,11120.0,13080.0
starts showing me how to play chess but,13080.0,15000.0
it's a black guy at a black guy table,15000.0,17599.0
and I'm a white guy so now I just sat,17599.0,19640.0
down at this black guy table and all the,19640.0,21440.0
woods and all the skin heads in there,21440.0,22720.0
are like now against me you oh no but I,22720.0,26760.0
didn't know like oh no you had no idea I,26760.0,29280.0
had no idea oh no right so now now no no,29280.0,32720.0
yeah so now my cell pops and I go to,32720.0,36400.0
walk to the shower and I walk past the,36400.0,38480.0
other cell that pops which is another,38480.0,40360.0
another skin head in that in that room,40360.0,42519.0
and I go walk past his his cell and,42519.0,45280.0
smack right so now we're fighting wow,45280.0,49879.0
you know so clean this kid up now they,49879.0,53799.0
move me to another module so now this,53799.0,56440.0
kid put a kite out like oh we got to get,56440.0,58440.0
this guy,58440.0,59599.0
